Rk,Name,Age,Tm,PA,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS?,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,Pos Summary
201,Ildemaro Vargas#\vargail01,28,MIN,24,19,2,2.7,98,0.238,0.227,0.242,0.250,0.317,0.364,0.412,0.614,0.730,67,0.284,-1,-0.1,0.5,0.182,0.136,,/4H5
202,Taylor Jones\jonesta01,26,HOU,22,19,1,1.4,101,0.231,0.190,0.246,0.227,0.322,0.381,0.420,0.608,0.742,61,0.1,-1.2,-0.1,0.474,0.238,0.19,0,/D3H
203,Marwin Gonzalez#\gonzama01,31,MIN,199,143,18,3.3,98,0.241,0.211,0.242,0.286,0.317,0.320,0.412,0.606,0.730,68,0.354,-7.5,-0.7,0.547,0.206,0.109,0,543/9H
204,Alex Gordon*\gordoal01,36,KCR,184,129,17,3.4,100,0.246,0.209,0.245,0.299,0.321,0.307,0.418,0.606,0.739,66,0.373,-7.8,-0.8,0.55,0.209,0.098,0,*7/H
205,Ryan O'Hearn*\ohearry01,26,KCR,132,97,10,2.7,100,0.267,0.195,0.245,0.303,0.321,0.301,0.418,0.604,0.739,66,0.276,-4.9,-0.5,0.542,0.265,0.106,0,3H/D
206,Bradley Zimmer*\zimmebr01,27,CLE,50,35,4,3,102,0.217,0.162,0.247,0.360,0.324,0.243,0.422,0.603,0.745,69,0.315,-1.1,-0.1,0.676,0.297,0.081,1.3,/789H
207,Jorge Bonifacio\bonifjo01,27,DET,94,69,8,3,100,0.288,0.221,0.245,0.277,0.321,0.326,0.418,0.602,0.739,64,0.32,-4.4,-0.4,0.515,0.163,0.105,0,79/H
208,Jarrod Dyson*\dysonja01,35,CHW,11,8,1,3.3,98,0.333,0.300,0.242,0.300,0.317,0.300,0.412,0.600,0.730,67,0.352,-0.5,-0.1,0.714,0.2,0,0,/7H8D9
209,Evan White\whiteev01,24,SEA,202,156,16,2.7,93,0.264,0.176,0.236,0.252,0.311,0.346,0.403,0.599,0.714,67,0.275,-8.2,-0.8,0.535,0.264,0.17,1.8,*3/H
210,Sergio Alcantara#\alcanse01,23,DET,23,18,2,2.9,100,0.125,0.143,0.245,0.217,0.321,0.381,0.418,0.598,0.739,59,0.304,-1.5,-0.1,0.556,0.333,0.238,0,/45H
211,Niko Goodrum#\goodrni01,28,DET,179,137,15,2.9,100,0.276,0.184,0.245,0.263,0.321,0.335,0.418,0.598,0.739,62,0.299,-8.5,-0.8,0.582,0.304,0.152,5.8,64/H
212,Mike Zunino\zuninmi01,29,TBR,84,64,7,2.8,95,0.206,0.147,0.238,0.238,0.313,0.360,0.407,0.598,0.720,65,0.298,-3.8,-0.4,0.563,0.293,0.213,0,2
213,Tyler Wade*\wadety01,25,NYY,105,77,9,3,97,0.188,0.170,0.241,0.288,0.316,0.307,0.411,0.595,0.726,66,0.324,-3.9,-0.4,0.613,0.307,0.136,3.4,46/H
214,Nomar Mazara*\mazarno01,25,CHW,149,106,13,3.2,98,0.330,0.228,0.242,0.295,0.317,0.294,0.412,0.589,0.730,64,0.344,-6.6,-0.7,0.5,0.132,0.066,0,*9/H
215,Domingo Santana\santado01,27,CLE,84,61,6,2.6,102,0.209,0.157,0.247,0.298,0.324,0.286,0.422,0.583,0.745,60,0.26,-3.8,-0.4,0.557,0.314,0.129,0,9/7H
216,Elvis Andrus\andruel01,31,TEX,111,89,7,2,100,0.200,0.194,0.245,0.252,0.321,0.330,0.418,0.582,0.739,58,0.188,-6.4,-0.6,0.506,0.233,0.136,3,6/H
217,Austin Romine\rominau01,31,DET,135,103,10,2.5,100,0.354,0.238,0.245,0.259,0.321,0.323,0.418,0.582,0.739,58,0.254,-7.9,-0.8,0.451,0.115,0.085,0,3-Feb
218,Jeff Mathis\mathije01,37,TEX,68,53,5,2.5,100,0.194,0.161,0.245,0.221,0.321,0.355,0.418,0.575,0.739,54,0.244,-4.4,-0.4,0.538,0.29,0.194,1.5,2/H
219,Isaac Paredes\paredis01,21,DET,108,79,8,2.6,100,0.280,0.220,0.245,0.278,0.321,0.290,0.418,0.568,0.739,56,0.269,-6.3,-0.6,0.468,0.15,0.07,0,5/HD
220,Matt Thaiss*\thaisma01,25,LAA,25,19,2,2.7,99,0.167,0.143,0.243,0.280,0.318,0.286,0.414,0.566,0.733,57,0.284,-1.3,-0.1,0.526,0.333,0.143,0,/3D457H
221,Anthony Alford\alforan01,25,TOR,16,13,1,2,99,0.250,0.188,0.243,0.188,0.319,0.375,0.414,0.563,0.733,49,0.182,-1.2,-0.1,0.692,0.375,0.188,1.5,/7H8D9
222,Dustin Garneau\garnedu01,32,HOU,46,35,3,2.2,101,0.227,0.158,0.246,0.273,0.322,0.289,0.420,0.562,0.742,54,0.214,-2.7,-0.3,0.515,0.289,0.132,0,2/H
223,Ehire Adrianza#\adriaeh01,30,MIN,101,75,7,2.4,98,0.258,0.191,0.242,0.287,0.317,0.270,0.412,0.557,0.730,56,0.242,-5.1,-0.5,0.493,0.213,0.079,0,5H/64D1
224,Josh Naylor*\naylojo01,23,CLE,66,47,5,2.8,102,0.264,0.230,0.247,0.277,0.324,0.279,0.422,0.556,0.745,52,0.287,-4.2,-0.4,0.447,0.115,0.049,,7/H3
225,Nicky Lopez*\lopezni01,25,KCR,192,144,13,2.4,100,0.260,0.201,0.245,0.286,0.321,0.266,0.418,0.552,0.739,53,0.231,-11,-1.1,0.461,0.142,0.065,0,*4/65H
226,Michael Hermosillo\hermomi01,25,LAA,10,7,1,3.7,99,0.250,0.250,0.243,0.300,0.319,0.250,0.414,0.550,0.733,55,0.409,-0.4,0,0.667,0.25,0,0,/78H
227,Nick Heath*\heathni01,26,KCR,18,14,1,1.9,100,0.286,0.154,0.245,0.313,0.321,0.231,0.418,0.543,0.739,53,0.163,-0.8,-0.1,0.615,0.231,0.077,0,/H8D7
228,Austin Allen*\allenau01,26,OAK,32,25,2,2.1,93,0.313,0.194,0.236,0.219,0.311,0.323,0.403,0.541,0.713,50,0.193,-2.2,-0.2,0.44,0.161,0.129,0,2
229,Sandy Leon#\leonsa01,31,CLE,81,59,5,2.2,102,0.163,0.136,0.247,0.296,0.324,0.242,0.422,0.539,0.745,49,0.21,-4.6,-0.5,0.525,0.318,0.106,0,2/HD
230,Greg Allen#\allengr01,27,CLE,28,22,2,2.4,102,0.188,0.160,0.247,0.214,0.324,0.320,0.422,0.534,0.745,42,0.232,-2.1,-0.2,0.524,0.24,0.16,1,7/8H
231,Vimael Machin*\machivi01,26,OAK,71,54,4,1.9,93,0.245,0.206,0.236,0.296,0.311,0.238,0.403,0.534,0.714,54,0.173,-3.7,-0.4,0.426,0.159,0.032,,5/6D43H
232,Jose Briceno\bricejo01,27,LAA,6,4,0,0,99,0.250,0.200,0.243,0.333,0.319,0.200,0.414,0.533,0.733,53,0,-0.3,0,0.5,0.2,0,,/2
233,Shed Long*\longsh01,24,SEA,128,98,9,2.4,93,0.221,0.171,0.236,0.242,0.311,0.291,0.403,0.533,0.713,50,0.236,-7.9,-0.8,0.5,0.248,0.12,3.4,4/HD7
234,Meibrys Viloria*\vilorme01,23,KCR,24,17,2,3.1,100,0.333,0.190,0.245,0.292,0.321,0.238,0.418,0.530,0.739,48,0.327,-1.5,-0.2,0.471,0.143,0.048,,2
235,Christin Stewart*\stewach02,26,DET,99,78,6,2,100,0.207,0.167,0.245,0.224,0.321,0.300,0.418,0.524,0.739,42,0.182,-7.6,-0.8,0.442,0.189,0.133,0,7/HD
236,Grayson Greiner\greingr01,27,DET,55,47,3,1.7,100,0.107,0.118,0.245,0.182,0.321,0.333,0.418,0.515,0.739,36,0.137,-4.8,-0.5,0.447,0.275,0.216,0,2
237,Abraham Toro#\toroab01,23,HOU,97,76,6,2.1,101,0.164,0.149,0.246,0.237,0.322,0.276,0.420,0.513,0.742,39,0.189,-7.7,-0.8,0.461,0.161,0.126,1.5,5DH/34
238,Jake Fraley*\fraleja01,25,SEA,29,23,2,2.3,93,0.267,0.154,0.236,0.241,0.311,0.269,0.403,0.511,0.713,45,0.218,-2,-0.2,0.522,0.231,0.115,0,/97
239,Mitch Garver\garvemi01,29,MIN,81,62,5,2.1,98,0.294,0.167,0.242,0.247,0.317,0.264,0.412,0.511,0.730,42,0.196,-5.9,-0.6,0.443,0.194,0.097,0,2/H3
240,Danny Santana#\santada01,29,TEX,63,49,4,2.1,100,0.226,0.145,0.245,0.238,0.321,0.273,0.418,0.511,0.739,39,0.199,-4.6,-0.5,0.5,0.291,0.127,1.3,/38D7H
241,Luis Gonzalez*\gonzalu03,24,CHW,2,1,0,0,98,,0.000,0.242,0.500,0.317,0.000,0.412,0.500,0.729,58,0,0.1,0,1,0,0,,/H8D7
242,Myles Straw\strawmy01,25,HOU,86,67,6,2.3,101,0.283,0.207,0.246,0.244,0.322,0.256,0.420,0.500,0.742,37,0.228,-7.3,-0.7,0.463,0.146,0.049,0,8/HD6
243,Rob Refsnyder\refsnro01,29,TEX,34,25,2,2.1,100,0.300,0.200,0.245,0.265,0.321,0.233,0.418,0.498,0.739,38,0.193,-2.5,-0.3,0.417,0.1,0.033,,/D3H97
244,Mike Ford*\fordmi01,27,NYY,84,69,4,1.5,97,0.140,0.135,0.241,0.226,0.316,0.270,0.411,0.496,0.726,37,0.118,-6.3,-0.6,0.426,0.23,0.135,0,3H/D
245,Willie Calhoun*\calhowi01,25,TEX,108,84,6,1.9,100,0.214,0.190,0.245,0.231,0.321,0.260,0.418,0.491,0.739,34,0.163,-9.4,-0.9,0.39,0.12,0.07,0,D/7H
246,Yu Chang\changyu01,24,CLE,13,11,0,0,102,0.286,0.182,0.247,0.308,0.324,0.182,0.422,0.490,0.745,38,0,-0.9,-0.1,0.364,0.182,0,,/H654
247,Daz Cameron\camerda01,23,DET,59,47,3,1.7,100,0.289,0.193,0.245,0.220,0.321,0.263,0.418,0.483,0.739,32,0.137,-5.6,-0.6,0.383,0.123,0.07,0,9/H
248,Dee Strange-Gordon*\gordode01,32,SEA,82,63,4,1.7,93,0.242,0.200,0.236,0.268,0.311,0.213,0.403,0.482,0.713,39,0.136,-6.1,-0.6,0.413,0.093,0.013,0,47/H6D
249,Jonathan Villar#\villajo01,29,TOR,79,57,6,2.7,99,0.271,0.188,0.243,0.278,0.319,0.203,0.414,0.481,0.733,36,0.284,-5.9,-0.6,0.536,0.246,0.014,0,4/6DH
250,Travis Demeritte\demertr01,25,DET,33,24,2,2.2,100,0.333,0.172,0.245,0.273,0.321,0.207,0.418,0.480,0.739,34,0.206,-2.6,-0.3,0.417,0.138,0.034,,9/HD71
251,Roberto Perez\perezro02,31,CLE,110,83,6,1.9,102,0.259,0.165,0.247,0.264,0.324,0.216,0.422,0.480,0.745,33,0.166,-9.3,-0.9,0.41,0.165,0.052,0,2
252,Andrew Velazquez#\velazan01,25,BAL,77,61,4,1.7,99,0.250,0.159,0.243,0.274,0.318,0.206,0.414,0.480,0.733,36,0.142,-5.6,-0.6,0.474,0.238,0.048,0,6H/784
253,Jonah Heim#\heimjo01,25,OAK,41,31,2,1.7,93,0.229,0.211,0.236,0.268,0.311,0.211,0.403,0.479,0.714,39,0.14,-3.2,-0.3,0.355,0.079,0,,2/DH
254,Jo Adell\adelljo01,21,LAA,132,108,6,1.4,99,0.258,0.161,0.243,0.212,0.319,0.266,0.414,0.478,0.733,31,0.109,-12.2,-1.2,0.38,0.153,0.105,0,9/8H
